"","X1_1","Question","Answer","Speaker"
"1174",1877,"

هل يجوز لي استئجار شخص يقوم عني بالأعمال المستحبة مثل الصوم والصلاة في حياتي؟","لا يجوز .","السيستاني"
"1175",1878,"

هل يجوز إستئجار ذوي الاعذار للصلاة ؟","لا يجوز استئجار ذوي الأعذار مطلقاً على الأحوط لزوماً كالعاجز عن القيام أو عن الطهارة الخبثية أو المسلوس أو المتيمم إلا إذا تعذر غيرهم، بل في فراغ ذمة الميت مع تبرع العاجز إشكال، فلا يترك مراعاة مقتضى الاحتياط في ذلك، نعم يجوز استئجار ذي الجبيرة ويكفي تبرعه وإن كان الأحوط استحباباً خلافه.
وإذا استأجر القادر فصار عاجزاً وجب عليه التأخير إلى زمان رفع العذر، وإن ضاق الوقت انفسخت الإجارة.","السيستاني"
"1176",1880,"

والدتي تعاني من الآم بالظهر يمنعها من ان تؤدي صلاتها بالشكل الصحيح وهي الآن تؤديها من جلوس وتقوم برفع التربة لتلامس الجبهة فهل يجوز لها الصلاة بهذه الكيفية ؟","يجوز إن لم تتمكن من الصلاة قائمة ولو بالايماء الى السجود.","السيستاني"
"1177",1881,"

شخص مصاب بالحساسية في الجلد فعندما يقوم للصلاة يرى أن ثيابه عليها بقع متفرقة من الدم فيصعب عليه تبديل الثياب في كل مرة لأنها عملية مستمرة ، فهل يجوز الصلاة مع وجود بقع الدم على الثياب ؟","إذا كانت سعة مقدار الدم أقل من الدرهم أو عُدّ الدم من دم الجروح فلا بأس بالصلاة به ولا يجب غسله .","السيستاني"
"1178",1882,"

هل يجوز الاعتماد حال السجود على اليد الصناعية لمن قطعت يده؟","اذا كانت قابلة للانفصال لايجزي والاحوط وجوباً وضع الأقرب من الكف فالأقرب .","السيستاني"
"1179",1883,"

المغمى عليه إذا افاق أثناء النهار ولم يكن مسبوقاً بالنية وكذلك السكران فما حكم صومهما؟","لا يصحّ منهما الصوم في الفرض المذكور ولكن يجب القضاء على السكران دون المغمى عليه .","السيستاني"
"1180",1886,"

ما هو حكم صلاة وصيام المريض الداخل في غيبوبة؟","اذا كان مغمي عليه في تمام وقت الصلاة لم يجب عليه قضاؤها الا اذا كان الاغماء بفعله فانه يلزمه القضاء عندئذٍ علي الاحوط وكذلك لايجب قضاء ما يفوت من الصيام بسبب الاغماء.","السيستاني"
"1181",1888,"

شخص مصاب بحساسية في فصلي الخريف الشتاء والربيع بحيث انه عندما يقوم ويقعد في الصلاة يحدث عنده وخز (كوخز الابر) في جميع انحاء جسمه مما يضطره الي الحك ولا يستطيع الاستمرار في صلاته، فيضطر اما الى تكملتها وهو جالس، او ان يقطعها ويذهب لتبليل جسمه بالماء، فهل يكفيه ان يكملها جالساً، أو يقطعها ثم يستأنفها؟","اذا كانت له فترة يمكنه اداء الصلاة فيها قائماً من دون طرو الحالة المذكورة او مع طروها ولكن مع امكان تبليل الجسم في الاثناء من دون محذور ارتكاب المنافي يتعين عليه ذلك ولا تجزه الصلاة من جلوس، واما في غير ذلك فلا حرج عليه في تكميل صلاته جالساً.","السيستاني"
"1182",1889,"

اذا كان الانسان لا يستطيع السجود علي الاعضاء السبعة لمرض في مفاصل الركبة او كسر في الركبة او الساق ولايمكنه له السجود فهل تكون وظيفته الايماء للسجود او وضع شيء مرتفع ويسجد عليه مثلاً يضع خشبة مرتفعة ويسجد عليها؟","اذا كان يصلي عن جلوس ويتمكن من الانحناء بما يصدق معه السجود ولو علي مرتفع لزمه ذلك، واما الانحناء بما دون الصدق العرفي فلا عبرة به بل تنتقل وظيفته الي الايماء والاحوط الاولي ان يضع جبهته على ما يصح السجود عليه بعد رفعه وكذا يضع ما يمكن من سائر المساجد علي محالها.","السيستاني"
"1183",1890,"

ما حكم الصلاة علي الميت في المسجد؟","لا مانع منها وان كانت مكروهة.","السيستاني"
"1184",1891,"

ورد في منهاج الصالحين للسيد الخوئي (قدس سره) في الصلاة على الميت بالنسبة الى الصلاة على مَن لم يبلغ ست سنين ما نصه : ((وفي استحبابها على من لم يبلغ ذلك وقد تولد حياً اشكال والاحوط الاتيان بها برجاء المطلوبية)). والظاهر من عبارته ان الاحتياط المذكور وجوبي .لكن في المسائل المنتخبة له (قدس سره) قال : ((والاولى الاتيان بها برجاء المطلوبية)). وهذا ظاهر في الاحتياط الاستحبابي .فهل يمكن اعتبار ما في المسائل قرينة على ارادة الاستحبابي في المنهاج؟","الاحتياط وجوبي بمعنى انه اذا اراد الاتيان فالاحوط وجوباً ان لايقصد المشروعية و لا ينافيه عبارة المسائل فان الاتيان بالصلاة المذكورة أولى وليس واجباً.","السيستاني"
"1185",1893,"

هل تجب إقامة صلاة الميت جماعة؟ وهل يشترط ان يكون الامام عادلا ؟","صلاة الميت واجبة واقامتها جماعة مستحبة ولا يشترط فيها عدالة الامام.","السيستاني"
"1186",1896,"

متى تجب الصلاة على الميت؟ وماهي الكيفية في ادائها ؟","تجب الصلاة على الميت المسلم إذا بلغ ست سنين فصاعداً ، والأحوط وجوباً أن يُصلى على مَن يعقل الصلاة وان لم يبلغ الست. 
وكيفية الصلاة على الميت: أن يكبِّر المصلي على الميت خمس تكبيرات ، والأفضل أن يكبّر المصلي التكبيرة الأولى ويتشهد الشهادتين ، ثم يكبّر التكبيرة الثانية ويصلي على النبي (ص) وآله (ع) ، ثم يكبّر التكبيرة الثالثة ويدعو للمؤمنين والمؤمنات ، ثم يكبّر التكبيرة الرابعة ويدعو للميت ، ثم يكبِّر التكبيرة الخامسة وينصرف.","السيستاني"
"1187",1897,"

أرجو من حضرتكم التكرّم في مساعدتي: أنا عاملة في شركة لا أقدر أن أصلّي الظهر والعصر في وقتهما، وعندما أذهب إلى البيت أصلّي الجميع، فهل هذا ممكن؟","لا يجوز تأخير الصلاة عن وقتها - أي: إلى الغروب في فرض السؤال - ، وإذا كنت بحاجة إلى العمل المذكور بحدّ يبلغ حد الاضطرار فصلّي بالكيفية الممكنة.","السيستاني"
"1188",1898,"

هل يجب إيقاظ النائم للصلاة مع خوف فوات وقتها عليه؟ وما الحكم بالنسبة للوالدين؟","يجوز إلا مع العلم بعدم رضاه وتأذيه، بل يجب إذا كان متهاوناً.","السيستاني"
"1189",1899,"

كرة القدم رياضة يمارسها الشباب والصغار والكبار، وغالباً ما يتزامن وقت ممارستها مع وقت أذان المغرب (فريضة المغرب والعشاء) مع ما لها من فضل إذا أدّيت في وقتها، فهل هناك تأثير مضاعف في الإثم؟","تأخير الصلاة عن أوّل وقتها وإن لم يكن حراماً ولكن يفوت المكلّف بذلك فضيلة أوّل الوقت، وقد عُدّ ذلك في بعض النصوص المرويّة عن أهل البيت (عليهم السلام) تضييعاً للصلاة.","السيستاني"
"1190",1900,"

إذا كان المكلّف يعلم يقيناً أنّه لو سهر في الليل إلى ساعة متأخّرة سوف لن يستيقظ لصلاة الصبح فهل يحرم عليه السهر حينئذٍ؟","إذا عُدّ تهاوناً في أداء الواجب فلا يجوز.","السيستاني"
"1191",1901,"

هل يجوز تأخير الصلاة بسبب قدوم الضيوف والقيام بخدمتهم أو بكاء الطفل الرضيع؟","لا يجوز تأخيرها حتى ينقضي وقتها لما ذُكِر من المبرّرات، ويستحب تقديمها في أول وقتها.","السيستاني"
"1192",1903,"

إذا نام المكلّف قبل دخول وقت الصلاة ولم يستيقظ إلاّ بعد انقضاء الوقت فهل يأثم ؟","لا إثم عليه إذا لم تكن استدامة النوم إلى نهاية الوقت مستندة إلى اختياره.","السيستاني"
"1193",1904,"

شخص يستيقظ قبل دخول وقت صلاة الفجر بدقائق، فهل يحقّ له معاودة النوم ثانيةً إذا كان يعلم أو يحتمل احتمالاً قويّاً أنّه لا يستيقظ إلاّ والشمس طالعة؟ وهل يجب استخدام ما ينبهه كالساعة مثلاً؟","العود الى النوم وعدم استخدام المنبّه إذا كان يُعد استخفافاً بالصلاة وتهاوناً في أدائها لم يجز.‏","السيستاني"
"1194",1905,"

هل يجوز التلهّي بمشاهدة فلم ممتع، ثم يحين وقت الصلاة، ويستمر المسلم بمشاهدة الفلم، حتى إذا انتهى العرض، ذهب لأداء صلاته ولو قبل انتهاء الوقت المحدّد للصلاة بفترة قصيرة؟","لا ينبغي للمسلم تأخير الصلاة عن وقت فضيلتها إلاّ لعذر، وليس منه ما ذُكِر.","السيستاني"
"1195",1906,"

إذا اعتقد المكلّف بأنّه إذا نام فإنّه لا يستيقظ لصلاة الصبح، فهل يجب عليه أن يبقى مستيقظاً لحين أداء الصلاة؟ وهل يأثم إذا نام فلم يستيقظ لصلاته بعد ذلك؟","يمكنه أن يكلّف أحداً بإيقاظه للصلاة أو يستخدم الساعة المنبّهة أو نحوها لهذا الغرض، وإن لم يمكن ذلك لم يأثم بالنوم إلا إذا عدّ ذلك تسامحاً وتهاوناً بالصلاة عرفاً.","السيستاني"
"1196",1909,"

كيف نصلي صلاة الوحشة ؟","هي ركعتان يقرأ في الأولى بعد الحمد آية الكرسي والأحوط لزوماً قراءتها إلى :(هم فيها خالدون) وفي الثانية بعد الحمد سورة القدرعشر مرات ، وبعد السلام يقول :((اللهم صل على محمد وآل محمد وابعث ثوابها إلى قبر فلان)) ويسمي الميت ، وفي رواية بعد الحمد في الأولى التوحيد مرتين ، وبعد الحمد في الثانية سورة التكاثرعشراً ، ثم الدعاء المذكور والجمع بين الكيفيتين أولى وأفضل .","السيستاني"
"1197",1910,"

صلاة الوحشة متي وقتها بعد صلاة المغرب او بعد صلاة العشاء وهل يجوزللحي ان يصلي لنفسه مسبقا صلاة الوحشة؟","وقت صلاة الوحشة الليلة الاولي من الدفن اوالليلة الاولي بعد الموت ولمعرفة كيفيتها يمكن مراجعة الرسالة الفتوائية ـ منهاج الصالحين-966 ولايصح ان ياتي بها المكلف قبل الموت، نعم له ان يوصي باخراج صلاة الوحشة من ثلثه بعد الموت.","السيستاني"
"1198",1912,"

هل يجوز الإتيان بالعبادة كالصلاة والصوم والحج وقراءة القرآن وإهداء ثوابها للوالدين وإن لم يكونا مسلمين ؟","لا يحرم إهداء ثوابها إليهما برجاء تخفيف العذاب عنهما .","السيستاني"
"1199",1913,"

نرجوا من سماحتكم شرح صلاة الغفيلة؟","صلاة الغفيلة ركعتان ما بين فرضي المغرب والعشاء ، يقرأ في الركعة الأولى بعد سورة الحمد ( وَذَا النّونِ إذْ ذَهَبَ مُغاضِباً فَظَنَّ أنْ لَنْ نَقْدِرَ عَليه ، فَنَادى في الظُّـلُماتِ اَنْ لا إلهَ إلاّ أنت سُبْحانَك إنّي كُنْتُ من الظّالِمين ، فَاسْتَجَبْنا لَهُ وَنَجّيْناهُ مِنَ الغَمّ وَكَذَلِكَ نُنْجي المُؤمِنين ) ويقرأ في الركعة الثانية بعد سورة الحمد ( وَعِنْدَهُ مَفاتِحُ الغَيبِ لا يَعْلَمُها إلاّ هو ، وَيَعْلَمُ مَا في البَرِّ والبَحرِ ، وما تَسْقُطُ مِنْ وَرَقَةٍ إلاّ يَعْلَمُها ، ولا حَبّةٍ في ظُلُماتِ الاَرضِ ، ولا رَطْبٍ ولا يابِسٍ إلاّ في كِتَابٍ مُبِين ) ثم يقنت فيقول: « اللّهُمَّ إنّي أَسْأَلُكَ بِمَفاتِحِ الغَيبِ التي لا يَعْلَمُها إلاّ أَنْتَ أنْ تُصلي عَلى مُحمد وَآل مُحمد » ويطلب حاجته ويقول: « اللّهم أنت وَليّ نِعْمَتي والقادِرُ على طَلِبَتي تَعْلَمُ حاجَتي فَاسألك بحق محمد وآله عليه وعليهم السلام لمّا قضيتها لي » ويجوز أن يأتي بهاتين الركعتين بقصد نافلة المغرب أيضاً فتجزى عنهما جميعاً.","السيستاني"
"1200",NA,NA,NA,NA
"1201",1917,"

هل ينتهي وقت صلاة الغفيلة بدخول صلاة العشاء؟","ينتهي بذهاب الحمرة المغربية .","السيستاني"
"1202",1918,"

هل صلاة الغفيلة تعادل نافلة المغرب؟","لاتعادلها.","السيستاني"
"1203",1919,"

في صلاة الغفيلة هل يجوز ذكر البسملة بعد الحمد وقبل وذالنون في الركعة الاولى وقبل وعنده مفاتح الغيب في الركعةالثانية ؟","يجوز .","السيستاني"
"1204",1920,"

هل يجوز لي ان اقطع قراءة سورة الاخلاص اذا قراتها سهوا في صلاة الغفيلة - اذ انه يجب قراءة اية (وعنده مفاتح الغيب) فقرات سورة الاخلاص وتذكرت قبل ان انهيها - وما العمل اذا كان لايجوز قطعها؟","لايجوز القطع على الاحوط ويجوز بعد الاكمال قراءة الآية.","السيستاني"
"1205",1921,"

نرجوا من سماحتكم شرح كيفية صلاة الآيات؟","صلاة الآيات ركعتان ، وفي كل ركعة منها خمسة ركوعات ، وكيفية ذلك أن يكبّر ويقرأ سورة الفاتحة وسورة تامة غيرها ، ثم يركع فإذا رفع رأسه من الركوع قرأ سورة الفاتحة وسورة تامة ، ثم يركع وهكذا إلى أن يركع الركوع الخامس ، فإذا رفع رأسه منه هوى إلى السجود وسجد سجدتين كما في الفرائض اليومية ، ثم يقوم فيأتي في الركعة الثانية بمثل ما أتى به في الركعة الاولى ، ثم يتشهد ويسلم كما في سائر الصلوات.
ويجوز الاقتصار في كل ركعة على قراءة سورة الفاتحة مرة وقراءة سورة اُخرى ، بأن يقرأ بعد سورة الفاتحة شيئاً من السورة ـ بشرط أن يكون آية كاملة أو جملة تامة على ـ الأحوط لزوماً ـ ثم يركع فإذا رفع رأسه من الركوع يقرأ جزءاً آخراً من تلك السورة من حيث قطعها ثم يركع ، وهكذا ، ويتم السورة بعد الركوع الرابع ثم يركع ، وكذلك في الركعة الثانية.
ويجوز له التبعيض بأن يأتي بالركعة الأولى على الكيفية الأولى ، ويأتي بالركعة الثانية على الكيفية الاُخرى ، أو بالعكس ، ولها كيفيات أخر لاحاجة إلى ذكرها.","السيستاني"
"1206",1923,"

اذا كان كسوف الشمس أو خسوف القمر جزئيا فهل تكون صلاة الآيات واجبة ؟","واجبة .","السيستاني"
"1207",1925,"

الغبار العاصف الذي يدهم مدينة النجف الأشرف في شهور  ،  ،  على الأغلب وقد يؤدي إلى اصفرار او احمرار الجو فهل يوجب صلاة الآيات عندها ؟","الأحوط الأولى الاتيان بها عند كل مخوف سماوي ـ حتى على تقدير انطباقه في مفروض السؤال ـ .","السيستاني"
"1208",1926,"

في الاستحاضة المتوسطة او الكثيرة اذا وجبت صلاة الآيات فهل يجب على المراة المستحاضة الوضوء والاغتسال لصلاة الآيات ام يكفيها القيام بوظيفتها للصلاة اليومية؟","في الاستحاضة المتوسطة تتوضأ لكل صلاة يومية او صلاة الآيات او غيرها من الصلوات واما اذا كانت الاستحاضة كثيرة وحان وقت الصلاة فتغتسل غسلاً للصلاة اليومية و غسلا آخراً على الاحوط وجوبا لصلاة الآيات.","السيستاني"
"1209",1927,"

هل اذا سمعنا صاعقة وجب علينا صلاة الايات او الصواعق التي تخيف فقط؟ هناك في بعض الاحيان تكون الدنيا ممطرة لفترة طويلة والصواعق فيها كثيرة وتطول مع المطر فهل يجزي صلاة واحدة اي صلاة آيات واحدة ام نصلي فيها من بدء الصواعق وحتي نهايتها وقد تكون بعد ساعتين او اربع الخ؟","الاقوي عدم وجوب صلاة الايات بسبب الصاعقة نعم الاتيان بها حينئذٍ هو الاحوط الاولي ومورد هذا الاحتياط الاستحبابي خصوص ما اذا كانت مخوفة لغالب الناس فلا عبرة بالمخوف للنادر كما لا عبرة بغير المخوف.","السيستاني"
"1210",1928,"

ما حكم الذي لم يصل صلاة الايات اذا اراد قضائها، وكم صلاة عن النية الواحدة؟","يقضي ما فات منه من صلوات الكسوف والخسوف على تفصيل مذكور في الرسالة العملية وليس لها عدد معين في كل سنة فقد لا يتفق شيء من ذلك طول السنة وقد يتفق مرة او كثر.","السيستاني"
"1211",1929,"

في صلاة الايات، شخص قرأ سوة الفاتحة وسورة كاملة بعدها ثم ركع ثم قرأ قبل الركوع الثاني والثالث والرابع والخامس سوراً كاملة من دون ان يقرأ قبلها الفاتحة، وهكذا فعل في الركعة الثانية، فهل هذه الكيفية صحيحة ام يجب اعادتها في الوقت او قضاؤها في خارجه؟","هذه الكيفية غير صحيحة فعليه الاعادة او القضاء، نعم اذا كان جاهلاً قاصراً وعلم بعد الصلاة فلاشيء عليه.","السيستاني"
"1212",1930,"

في صلاة الايات (للكسوفين) اذا كان القرص قد احترق كلياً، ولم يعلم به الاّ الانجلاء، فهل يكون القضاء فورياً بمجرد العلم، ام يجوز فيه التراخي؟","يجوز التأخير فيه.","السيستاني"
"1213",1931,"

نود من سماحتكم شرح كيفية صلاة الليل بالتفصيل؟","وقت صلاة الليل يبدأ من اول الليل وان كان الافضل الاتيان بها بعد انتصاف الليل وكلما قرب السحر فهو افضل .
وهي 11ركعة  8 ركعات تصليها بنية نافلة الليل، تصليها ركعتين فركعتين بتشهد وتسليم ، ثم تصلي ركعتين بنية الشفع ثم ركعة واحدة بنية الوتر، ويجوز الاقتصار على الشفع والوتر، اوعلى ركعة الوتر خاصة.
و يجوز الاتيان بها وكذا غيرها من النوافل في حال المشي، كما يجوز الاتيان بها في حال الجلوس اختياراً.
ولا يشترط ذكر خاص في القنوت، نعم يستحب في قنوت الوتر أن تستغفر لأربعين مؤمن (بأن تقول اللهم اغفر لفلان) وبعده تستغفر لنفسك (استغفر الله ربي واتوب اليه) سبعين مرة ثم تقول (هذا مقام العائذ بك من النار) سبع مرات ثم تقول ""العفو"" 300 مرة وتتم الصلاة.","السيستاني"
"1214",1932,"

في حال عدم ادراك وقت صلاة الليل يمكن اداؤها ولو قضاءً بعد صلاة الصبح مباشرة؟","يجوز بل يستحب القضاء.","السيستاني"
"1215",1933,"

هل يجوز ان اجمع صلاة ركعتي الشفع والوتر بسلام واحد؟ اي تكون عبارة عن ثلاث ركعات فاسلم بعد ركعة الوتر؟","نعم لا يبعد جواز الاتيان بالوتر متصلة بالشفع.","السيستاني"
"1216",1934,"

اذا لم يصّل الشخص نافلة الليل ولكنه صلي الشفع والوتر فقط، فهل يجوز الاتيان بنافلة الفجر قبل دخول وقت صلاة الفجر؟","نعم يجوز .","السيستاني"
"1217",1935,"

هل يجوز الاستغفار في صلاة الليل لأكثر من اربعين مؤمن؟","يجوز لا بقصد الجزئية.","السيستاني"
"1218",1937,"

أنا أصلي صلاة الليل في المنتصف الاخير من الليل ولكن ذلك يؤثر على نشاطاتي اليومية و ذلك ناتج عن السهر فما العمل؟","يمكنك أن تصلي صلاة الليل قبل النوم و إن وقعت في النصف الاول من الليل .","السيستاني"
"1219",1939,"

هل يجوز ذكر أهل البيت (عليهم السلام) في إستغفار ركعة الوتر ؟","ان تبدأ دعائك بالصلاة على محمد و آل محمد و أن تختمه به فيكون محفوفاً بما هو مقبول عند الله (عزوجل).","السيستاني"
"1220",1940,"

نرجو بيان كيفية صلاة الليل وما هو افضل وقت لها؟","افضل وقتها السحر وهو الثلث الاخر من الليل وافضله ما يقرب من الفجر وهي ثمان ركعات بنية نافلة الليل كل ركعتين بسلام ثم ركعتان بنية الشفع ليس فيهما قنوت ثم ركعة بنية الوتر يقنت فيها ويستحب ان يستغفر فيه سبعين مرة وان يدعو لاربعين مؤمناً.","السيستاني"
"1221",1942,"

هل يجوز الصلاة خلف الامام المبطون والمسلوس في صلاة الجمعة والجماعة؟","يجوز.","السيستاني"
"1222",1943,"

هل تصح خطبة الجمعة بغير العربية؟","الاحوط اتيان الحمد والصلاة من الخطبة بالعربية، واما غيرهما من اجزائها كالثناء علي الله والوصية بالتقوي فيجوز أتيانها بغير العربية، بل الاحوط فيما اذا كان اكثر الحضور غير عارفين باللغة العربية ان تكون العربية بتقوي الله باللغة التي يفهمونها.","السيستاني"
"1223",1944,"

هل يجب حضور صلاة الجمعة؟","إذا اقيمت الجمعة في بلد واجدة للشرائط فإن كان من اقامها الامام عليه السلام أو من يمثله وجب الحضور فيها تعييناً ، وان كان غيره لم يجب الحضور ، بل يجوز الاتيان بصلاة الظهر ولو في اول وقتها.","السيستاني"
"1224",1946,"

متي وقت صلاة الجمعة؟","وقت صلاة الجمعة أول الزوال عرفاً من يوم الجمعة ، ولو لم يصلها في هذا الوقت لزمه الاتيان بصلاة الظهر.","السيستاني"
"1225",1955,"

هل يجب في صلاة العيد الجماعة ؟ وهل يشترط في امام جماعة العيد العدالة المطلوبة في امامة صلاة الجماعة ؟","صلاة العيد مستحبة واقامتها جماعة مستحبة ايضا ولكن يشترط فيها كون الامام عادلا.","السيستاني"
"1226",1958,"

هل في صلاة العيد اذان واقامة ؟","ليس لصلاة العيدين أذان ولا إقامة، بل يستحب أن يقول المؤذن: (الصلاة) ثلاثاً.","السيستاني"
"1227",1959,"

ماهو وقت صلاة العيدين والمستحبات فيه ؟","وقت صلاة العيدين من طلوع الشمس إلى الزوال، ويسقط قضاؤها لو فاتت، ويستحب الغسل قبلها، والجهر فيها بالقراءة إماماً كان أو منفرداً، ورفع اليدين حال التكبيرات، والسجود على الأرض، والإصحار بها إلاّ في مكة المعظمة فإن الإتيان بها في المسجد الحرام أفضل، وأن يخرج إليها راجلاً حافياً لابساً عمامة بيضاء مشمراً ثوبه إلى ساقه، وأن يأكل قبل خروجه إلى الصلاة في الفطر، وبعد عوده في الأضحى مما يضحي به إن كان.","السيستاني"
"1228",1960,"

هل يجوز للحجاج الاتيان بصلاة العيد في المزدلفة أو مني يوم العيد المعلن عند السلطات السعودية ولم يكن قد ثبت عندنا؟ وعلي فرض الجواز فهل يشرع بنية الاستحباب؟","مع احتمال كونه عيداً يجوز الاتيان بها رجاء.","السيستاني"
"1229",1961,"

ما هو المعتبر في صلاة الاحتياط؟","صلاة الاحتياط هي ما يؤتى بها بعد الصلاة تداركاً للنقص المحتمل فيها ، ويعتبر فيها أُمور:
1 ـ أن يؤتى بها بعد الصلاة قبل الاتيان بشيء من منافياتها ، وإلاّ لم تصح على ـ الأحوط لزوماً ـ.
2 ـ أن يؤتى بها تامة الأجزاء والشرائط على النحو المعتبر في اصل الصلاة ، غير أن صلاة الاحتياط ليس لها أذان ولا اقامة وليس فيها سورة ـ غير فاتحة الكتاب ـ ولا قنوت.
3 ـ أن يخفت في قراءتها على ـ الأحوط لزوماً ـ وان كانت الصلاة الأصلية جهرية ، ـ والأحوط الأولى ـ الخفوت في البسملة أيضاً.","السيستاني"
"1230",1962,"

في صلاة الاحتياط يجب قراءة الفاتحة فقط فما هو الحكم لو قرأ المصلي الفاتحة و سورة بعدا سهوا؟","لا شيء عليه.","السيستاني"
"1231",1964,"

اذا نسي المصلي الاتيان فوراً بصلاة الاحتياط وعقب هل تبطل الصلاة الاصلية؟ ام انه يتمكن من اداء صلاة الاحتياط اذا التفت اليها؟","ياتي بصلاة الاحتياط اذا لم يات بالمنافي والا فيعيد اصل الصلاة.","السيستاني"
"1232",1965,"

هل تجب التكبيرة في صلاة الاحتياط ؟","نعم تجب.","السيستاني"
"1233",NA,NA,NA,NA
"1234",1967,"

نرجوا من سماحتكم شرح كيفية صلاة الاستسقاء ؟","وهو طلب السقيا، وهي مستحبة عند غور الانهار وفتورالامطار، ومنع السماء قطرها لاجل شيوع المعاصي، وكفران النعم، ومنع الحقوق، والتطفيف في المكيال والميزان، والظلم، والعذر، وترك الامر بالمعروف والنهي عن المنكر، ومنع الزكاة، والحكم بغير ما انزل الله، وغير ذلك مما يوجب غضب الرحمان الموجب لحبس الامطار كما في الاثر.
وكيفيتها كصلاة العيدين ركعتان في جماعة، ولا باس بالفرادي رجاء، يقرا في كل منها الحمد وسورة، ويكبر بعد السورة في الاولي خمس تكبيرات، وياتي بعد كل تكبيرة بقنوت، وفي الثانية اربع تكبيرات، ياتي بعد كل تكبيرة بقنوت، ويجزي في القنوت كل دعاء، والاولي اشتماله علي طلب الغيث والسقي واستعطاف الرحمان بارسال الامطار وفتح ابواب السماء بالرحمة، ويقدم علي الدعاء الصلاة علي محمد وآله عليهم الصلاة والسلام .","السيستاني"
"1235",1968,"

هل يمكن ان نصلي صلاة الاستسقاء جماعة ؟","لا تشرّع الجماعة في الصلوات النوافل مطلقاً على الأحوط ، ويستثنى من ذلك صلاة الاستسقاء فإنه يؤتى بها جماعة .","السيستاني"
"1236",1971,"

ما حكم مَن لم يصلّ ركعتي الطواف خلف مقام ابراهيم (عليه السلام) بسبب ازدحام الطائفين والحجاج فصلّى الركعتين في الجهة المقابلة لقلة الازدحام؟","اذا لم يكن يتيسر له الصلاة خلف المقام ولو بعيداً عنه ولا في أحد جانبيه فلاشيء عليه.","السيستاني"
"1237",1972,"

هل يلزم ان تكون ركعتا الطواف الواجب في المسجد الحرام الاصلي؟ وما هي حدوده؟","يعتبر في ر كعتي الطواف الواجب الاتيان بهما خلف المقام فان لم يتمكن من ذلك فالاحوط ان يجمع بين الصلاة عنده في احد جانبيه وبين الصلاة خلفه بعيداً عنه ومع تعذر الجمع كذلك يكتفي بالممكن منهما ومع تعذرهما يصلي في اي مكان من المسجد مراعياً الاقرب الي المقام فالاقرب علي الاحوط الاولي وهذا يجري في المسجد الحرام بحدوده من (النبي صلي الله عليه وآله) بعد ذلك مطلقاً.","السيستاني"
"1238",1981,"

في الصلاة المستحبة إذا قرأ المصلي جزءً من سورة و ليس سورة كاملة فهل يبتدي بالبسملة؟","لا يجب.","السيستاني"
"1239",1982,"

هل تجوز الصلاة المستحبة من جلوس؟","يجوز.","السيستاني"
"1240",1984,"

بعض الصلوات المستحبة ولا سيما صلاة ليالي رجب وشعبان ورمضان صفة الصلاة يقول مثلاً . صلاة عشرين ركعة يسلم بين كل ركعتين، سؤالي علي نية الصلاة هل انوي العشرين ركعة معاً قربة الي الله تعالي واسلم بين كل ركعتين ام انوي كل ركعتين علي انفصال؟","تنوين علي النحو الاول.","السيستاني"
"1241",1985,"

هل يكفي في ذكر الركوع والسجود في الصلوات المستحبة قول سبحان الله مرة واحدة؟","لا يكفي علي الاحوط.","السيستاني"
"1242",1989,"

هل تجوز في العبادة المستحبة ـ مطلقاً ـ النيابة عن الحي، سواءً كانت هذه العبادة توصلية (كالصدقة وزيارة المعصومين) او غير توصلية (كالصلاة المستحبة)؟","يجوز.","السيستاني"
"1243",1990,"

ايهما افضل اداء صلاة النوافل في المسجد ام في البيت؟","أداؤها في المسجد افضل من ادائها في البيت مطلقاً، نعم مراعاة السّر في ادائها ايضاً افضل من الاعلان بها.","السيستاني"
"1244",1991,"

هل يجوز ان اجمع صلاة ركعتي الشفع والوتر بسلام واحد؟ اي تكون عبارة عن ثلاث ركعات فاسلم بعد ركعة الوتر؟","نعم لا يبعد جواز الاتيان بالوتر متصلة بالشفع.","السيستاني"
"1245",1992,"

اذا لم يصّل الشخص نافلة الليل ولكنه صلي الشفع والوتر فقط، فهل يجوز الاتيان بنافلة الفجر قبل دخول وقت صلاة الفجر؟","نعم.","السيستاني"
"1246",1993,"

هل يجوزالاتيان بجزء من السورة بعد الحمد في النافلة بنية الاستجاب؟","نعم ، ولكن في النوافل التي تستحب بسور معينة يعتبر في كونها تلك النافلة قراءة السورة بكاملها.","السيستاني"
"1247",1994,"

شخص لا يصلي النوافل ويصلي بدلاً عن ذلك الصلاة الفريضة قضاءاً برجاء المطلوبية لعل ذمته مشغولة بها نتيجة لوضوء غير صحيح او قرائة غير صحيحة او غير ذلك فهل هذا العمل صحيح وممدوح؟","الاحتياط بقضاء ما يحتمل فوته من الفريضة وان كان راجحاً في حد نفسه ولكن الاجدر به ان لا يحرم نفسه من ثواب النوافل المرتبة.","السيستاني"
"1248",1995,"

في صلوات النوافل ، هل الافضل ان تصلي من قيام مع ترك قراءة سورة بعد الحمد، ام الافضل ان تصلي من جلوس مع الالتزام بقراءة سورة بعد الحمد؟","لا يبعد ان يكون الاول افضل ولكن النوافل التي تستحب بسور معينة يعتبر في كونها تلك النافلة قراءة السورة الموظفة الّا مع احراز ان تعيينها كان من باب المستحب في المستحب علي وجه تعدد المطلوب.","السيستاني"
