"","X.1","Question","Answer","Speaker","Words_Q","Words_A"
"412",432,"

Is it permissible for a person to reside in non-Muslim countries with all its temptations that confronts the person on the street, the school, the television and other media while he has the ability to migrate to a Muslim country although that transfer would cause difficulty in residence, loss of material wealth and comfort, and constrain the worldly aspects of his life? If it is not permissible to remain in such a country, would his efforts in propagation among the Muslims (reminding them of their obligations and encouraging them to refrain from haram) change the rule for him and allow him to remain in that country?","It is not haram to stay in that country, if it does not create hurdles for him and his family in fulfilling their religious obligations presently as well as in future; otherwise, it would not be permissible even if he is engaged in some kind of propagation activities. And Allah knows the best.","Sistani","family","family"
"422",442,"

If a Muslim knows that contracted AIDS, is it permissible on him to engage in sexual relations with his wife? Is it obligatory for him to inform his wife about it?","If he knows that the virus can infect her through sexual relations, it is not permissible for him at all. Similarly [it is obligatory on him to refrain from sex] if there exists a considerable level of likelihood [of infection], except in the case where the wife knows about it and agrees to it.","Sistani","wife","wife"
"426",446,"

What is the ruling on abortion for a pregnant woman who is infected with AIDS?","It is not permissible, more so after the soul has entered the feotus. Of course, if continuation of the pregnancy poses a danger to the mother, it is permissible for her to abort it before the entering of the soul in the feotus, but not after it.","Sistani","pregnancy,mother","pregnancy,mother"
"427",447,"

What is the ruling concerning the right of the non-infected spouse in seeking separation?","If deception was involved in the marriage, in the sense that the husband or the wife concealed the fact that they had AIDS at the time of proposing, engagement, so much that  the marriage contract (‘aqd) was recited based on that understanding, the deceived party has the right of annulment.
However, if the wife or her representative did not say anything about the issue of the disease and the husband assumed that she is free from it, the silence does not count as deception and, it therefore, does not yield the right of annulment.
If there was no deception or the disease flared up after the marriage, the non-infected husband has the right to divorcing his infected wife. Does the non-infected wife have the right to ask for divorce from her infected husband on the grounds that she is being deprived of her conjugal rights?
There are two views [on this]; precaution should not be ruled out in this case. Of course, if her husband abandons her completely and she becomes like a suspended woman [neither married nor unmarried], it is permissible for her to take her case to the religious judge* to force her husband to choose one of two courses: either end the abandonment or divorce her.","Sistani","marriage,wife,engagement,marriage,wife,marriage,wife,wife,divorce,woman,divorce","marriage,wife,engagement,marriage,wife,marriage,wife,wife,divorce,woman,divorce"
"428",448,"

What is the ruling on the sexual relations of an AIDS patient? Is it permissible for  a non-infected person to refuse sexual relation with their spouse because sexual intercourse is one of the main ways of transmitting the virus?","It is permissible for a non-infected wife not to make herself available to her infected husband for intimacy that could lead to infection by the virus. It is indeed obligatory on her to prevent him from such intimacy.
If it is possible to lessen the chances of infection to a level that is insignificant —for example, 2%— by using condom, etc, it is permissible for her to be intimate with her husband. In such a case, it is, based on precaution, not permissible for her to refuse [intimate relations with her husband].
This clarifies also the case of a husband who is not a carrier of the virus and wife whose: it is not permissible for him to have sexual relations with her in accordance with what sensible people perceive as considerable risk— of being infected by the virus. In such a case, the wife’s right to have sexual relations [at least once] every four months is suspended, except when it becomes possible to adopt methods that would properly prevent infection with the virus.","Sistani","wife,wife,wife","wife,wife,wife"
"435",455,"

Some Western governments allow the daughter to be independent of her parents, after she has passed the age of sixteen. If she seeks her parents advice, it is only for seeking their opinion or out of respect for them. Is such a virgin girl allowed to marry, be it permanent or a temporary marriage, without the consent of her father?","If this means that the father has allowed her to marry whomsoever she wants or that he has withdrawn from interfering in the matter of her marriage, it is permissible for her to do so; otherwise, based on obligatory precaution, it is not permissible.","Sistani","marriage","marriage"
"436",456,"

Is it permissible to look carefully at the body, with exception of the private parts, of the woman one intends to marry with sexual motivation or without it?","It is permissible to look at the woman’s features like the face, the hair, and the hands but without lustful intention. And [it is permissible], even if one knows that lustful thoughts will naturally occur [by looking at her]. When a person has come to know about her features by the first look, it is not permissible to look again.","Sistani","woman","woman"
"440",460,"

Is it permissible for us to give the Imam’s portion of khums for the marriage of a believer (mo’min) in the West, knowing that the amount of money that is given here [for this one marriage] can be used for marriages of more than one believer [in the Muslim countries], and there are many needy believes, in Muslim countries? Is it not necessary that most possible numbers of deserving people should be helped from sahm-e Imam?","Although providing for the marriage of needy believers is among the avenues covered by  the portion of the Imam (a.s.), one is not permitted to utilize it for this or its other purposes without the permission of the marja‘ or his representative.
It is not necessary to use the sahm-e Imam to serve the interests of the most possible number of deserving people; what is important is to prioritize the important causes. This prioritization varies according to circumstances.","Sistani","marriage","marriage"
"460",480,"

What is the best modest dress according to Islamic laws?","In the present time, the context of hijab is the modest covering of a Muslim woman. A woman should not show her beauty or adornments except what appears by uncontrolled factors such as the wind blowing her clothes, and the head covers should be drawn so as to cover the hair, the neck and the bosom. Islam has no fixed standard as to the style of dress or type of clothing that Muslims must wear.","Sistani","hijab,woman,woman","hijab,woman,woman"
"464",484,"

I am a married man and live in a joint family system; my father, mother, grand father, my younger brother and my uncle live in my house; how about my wife's hijab in such a situation?","Your wife is Mahram to your father and grandfather only (and not to your uncle or brother).","Sistani","wife","wife"
"472",492,"

Is it permissible for a boy of fifteen years to have a girl friend?","Friendship with a non-mahram is not allowed.","Sistani","mahr","mahr"
"475",495,"

Is it necessary for a woman to do indoor activities like washing dishes, cooking food and ironing her husband's clothes?","Although it is not wife's religious duty to do these jobs it is morally good for her to cooperate with her husband and help him in his difficulties. 
A woman has the right to ask her husband to pay her for the work she does at home.","Sistani","wife,woman","wife,woman"
"476",496,"

A woman, who is not obedient to her husband and does not carry out her matrimonial obligations, had, without his consent, left her matrimonial home and stayed with her parents for seven months. She, then went to a non-Islamic court, filed a divorce application, and demand maintenance and custody of the children. Has such a woman, who has violated her marital duties, any right in anything from her husband?","The said woman is not entitled to shari'i maintenance. As for her dowry and her right in nursing her offspring for the hawlayn (the two years), it should not be forfeited by virtue of nushouz (recalcitrance of the woman toward her husband).","Sistani","woman,dowry,woman","woman,dowry,woman"
"477",497,"

What is the quantity of the maintenance which a husband should provide his wife with? Moreover, can a man force his wife out of his home during Iddah (waiting period)?","The amount of maintenance, from the point of clothing, food and shelter, must be in accordance with the wife's social status. During the Iddah, husband must not kick his wife out of the house.","Sistani","wife,wife","wife,wife"
"478",498,"

I would like to have more information regarding the depth and extent of a husband's obligations for maintenance and expenses of the wife. Is it true that the husband should provide the same level of life (luxuries, maids, education) as the wife had before marriage? Does the answer differ from one scholar to another? Are there any hadith and/or rulings in this regard?","The husband is obliged to provide his wife with food, clothing and housing in conformity with her social status and dignity; dignity meaning the same level of life that she had before marriage. In this regard, the scholars share the same view.","Sistani","wife,marriage","wife,marriage"
"479",499,"

If a wife and husband are both working, and the husband incurs some debts, is it obligatory for the wife to help the husband in paying his debt or she can use her money as she wishes.","It is not necessary for the woman who is working to give her wages to her husband. The husband does not have the right to make her do so, but if the wife helps her husband from her own desire, then she has performed a praiseworthy action.","Sistani","woman,wife","woman,wife"
"480",500,"

Is it permissible for women to dance in front of other women or for men to dance in front of other men in a gender-wise segregated gathering with or without music?","Dancing of women in front of women or dancing of men in front of men is problematic, as a matter of obligatory precaution, one must refrain from it. The rules governing music have already been discussed earlier.","Sistani","women,women","women,women"
"481",501,"

I am studying in a new university where girls and boys sit together in the same class.  What is the Islamic law about co-education?","As for mixing up with the opposite gender, the woman must observe complete Islamic modest dress code and if she needs to talk to a man, she must avoid changing her voice to make it more delicate and attractive and she should also avoid talking in a way which is inappropriate. She must observe her modesty. Generally speaking, it is better to avoid mixing up with strangers (Na-Mahram men) because normally the Shari'ah limits are not observed in such situations.","Sistani","woman,modesty","woman,modesty"
"484",504,"

What is the philosophy of Azadari (mourning and lamentation) for Imam Husain?","There is no doubt that the tragedy of Kerbala, when ascribed to the killers, is a criminal and terrible act. However when ascribed to Husain (A) himself, it represents a conscious confrontation and a courageous resistance for a sacred cause. The whole nation had failed to stand up to Yazid. They had succumbed to his will, and deviation and regression towards the pre-Islamic ways were increasing. Passiveness by Husain (A) in this situation would have meant the end of Islam as we know it. Thus Husain (A) took upon himself the responsibility of the whole nation. The greatest tragedy was that one who stood up for the noblest of causes, the defense of Islam, was cut down in so cruel a manner. It is for this reason that the sacrifice of Husain (A) is commemorated annually throughout the Muslim world. Our sorrow never abates as we relive the tragedy. The commemoration of Ashura on the 10th of Muharram every year serves to remind us of the sacrifices of the family of the Prophet (S). It also makes us aware of the people, then and now, who tried to destroy Islam and the family of the Prophet (pbuh) and all that they stood for - as well as those who watched, listened and did nothing.","Sistani","family,family","family,family"
"493",513,"

Which is preferred for a woman, praying at home individually or praying in jama'ah (congregation) in a mosque?","It is recommended for women to attend congregational prayers as evidenced by an authentic tradition from the Commander of the Faithful, Ali (AS) that women used to attend congregational prayers but they were ordered to linger their sajda (prostration)  because some men were wearing tight garments but there is another authentic tradition which says that a woman's prayer at home is more virtuous than her prayer in a mosque. However, the conclusion that can be drawn from both traditions is that a woman's prayer at a place where she is not seen by non-mahram men (strangers) is more virtuous. If she can perform her prayers in a mosque without being seen by strangers, the prayer in a mosque would be more virtuous in that case. God knows best.","Sistani","women,women,woman,woman,mahr","women,women,woman,woman,mahr"
"497",517,"

Is it permissible for women to sing in the a wedding party in whatever tune, even if it is suitable for the gatherings of sinful people? Is it permissible for them to use musical instruments while singing that night? Is it permissible for them to sing, wearing henna [on the bride’s hand and feet], or on the eve of the seventh night [after the marriage]? Or is the permission restricted to the marriage eve?","Based on compulsory precaution, they should refrain from it, even on the marriage eve, let alone other occasions. As for the issue of music, its rules have already been mentioned earlier.","Sistani","marriage","marriage"
"499",519,"

Is it permissible for a woman to go out of her house for some errands perfumed, with the fragrance of her perfume reaching non-mahram men?","She ought not do that. It is not permissible if it tempts a non-mahram man or normally causes him excitement.","Sistani","mahr","mahr"
"500",520,"

It is normal these days for a woman to put on mascara and make-up, wear rings, necklaces and bracelets for beauty and then go out in front of people in the markets and streets.","This is not permissible for her except for collyrium and rings provided that she is safe from falling into forbidden activities and does not intend by it to excite non-mahram men.","Sistani","mahr","mahr"
"504",524,"

What is the rulings of His Eminence Grand Ayatullah Sayyid Ali Sistani (May Allah protect him) on sighting of the new moon crescent and determining the st day of the month?","Sighting of the new moon is ascertained by knowledge of the actual sighting or through solid news of such sighting, or some other means. Certainty can also be achieved through common knowledge. Amongst other sources of ascertaining the sighting of the new moon is the lapse of thirty days on Sha’ban’s crescent for the start of Ramadhan to be confirmed, or thirty days on the crescent of Ramadhan for the new moon of Shawwal to be confirmed [and so on]. Sighting can also be confirmed by the evidence of two witnesses of impeccable character (adl).
However, sighting of the new moon is not recognised by the evidence of women, or by the evidence of one just witness, even with oath, or by the words of astrologers. Neither by its absence after dawn dusk, so that it could be said that it belongs to a previous night, nor by the evidence of two just witnesses, if the evidence is not confined to their own sighting of the newly born moon. Sighting is not recognised too when it is seen before zawaal so that the day of sighting be from the ensuing month. The impression of a ring it may give, proving that it could belong to a previous night, cannot be accepted as well.","Sistani","women","women"
"506",526,"

Is it permissible for the people of Ahlul Kitãb and other non-Muslims to enter the mosques (masjid) and other Islamic places of worship [like husayniyya or imambargah which are not masjid]? And is it necessarily for us to enforce the hijãb on those [non-Muslim women] who do not observe hijãb and allow them to enter [the mosque or places of worship], if it is permissible?","Based on obligatory precaution, it is not permissible for them [i.e., non-Muslims] to enter the mosque (masjid). As for their entering the places of worship, etc, there is no problem in it. If their entry [in imambargah or a husayniyya or a center] without hijãb is considered as a sign of disrespect, hijãb should be enforced on the [non-Muslim] women.","Sistani","women","women"
"531",552,"

Eleven weeks ago I gave birth to a baby girl. However, since then I have been in a state of slight istihaza. when I read Sistani's Resalah I am under the impression that after the Nifas period and the  days Istihaza I would treat the blood to be Haiz if it fall during my Haiz habit (even if it does not bear signs of Haiz) and istihaza on other days. However, I have also been informed that since I am breastfeeding and it does not bear the signs, all of it is istihaza. Can you clarify this for me?","rom the time when the child birth takes place, the blood seen by the mother is Nifas, provided that it stops before or on completion of the tenth day. While in the condition of Nifas, a woman is called Nafsa.
If Nifas blood is seen by a mother for more than 10 days and she has a fixed habit of Hayz, then her Nifas will be equal to the duration of Hayz and the rest would be Istihaza. And, if she does not have a fixed habit of Hayz, she would take ten days as those of Hayz, and treat the rest as Istihaza","Sistani","mother,woman,mother","mother,woman,mother"
"533",554,"

If a wife and husband are both working, and the husband incurs some debts, is it obligatory for the wife to help the husband in paying his debt or she can use her money as she wishes.","It is not necessary for the woman who is working to give her wages to her husband. The husband does not have the right to make her do so, but if the wife helps her husband from her own desire, then she has performed a praiseworthy action.","Sistani","woman,wife","woman,wife"
"534",555,"

I would like to have more information regarding the depth and extent of a husband's obligations for maintenance and expenses of the wife. Is it true that the husband should provide the same level of life (luxuries, maids, education) as the wife had before marriage? Does the answer differ from one scholar to another? Are there any hadith and/or rulings in this regard?","The husband is obliged to provide his wife with food, clothing and housing in conformity with her social status and dignity; dignity meaning the same level of life that she had before marriage. In this regard, the scholars share the same view.","Sistani","wife,marriage","wife,marriage"
"535",556,"

What is the quantity of the maintenance which a husband should provide his wife with? Moreover, can a man force his wife out of his home during Iddah (waiting period)?","The amount of maintenance, from the point of clothing, food and shelter, must be in accordance with the wife's social status. During the Iddah, husband must not kick his wife out of the house.","Sistani","wife,wife","wife,wife"
"536",557,"

A woman, who is not obedient to her husband and does not carry out her matrimonial obligations, had, without his consent, left her matrimonial home and stayed with her parents for seven months. She, then went to a non-Islamic court, filed a divorce application, and demand maintenance and custody of the children. Has such a woman, who has violated her marital duties, any right in anything from her husband?","The said woman is not entitled to shari'i maintenance. As for her dowry and her right in nursing her offspring for the hawlayn (the two years), it should not be forfeited by virtue of nushouz (recalcitrance of the woman toward her husband) .","Sistani","woman,dowry,woman","woman,dowry,woman"
"543",565,"

Are collyrium and rings among the exceptions in Shari'ah?  In other words, is it permissible to wear in front of na-mahram men ?","Although these are among the exceptions and women can wear them in front of non-mahram men, it is necessary that they do not intend to show them to non-mahram and that wearing them does not generally entail any evil and she , at the same time, does not know that she will fall into a sin by wearing them. The precaution is to avoid wearing them in all situations.","Sistani","women,mahr,mahr","women,mahr,mahr"
"582",604,"

Some Western governments allow the daughter to be independent of her parents, after she has passed the age of sixteen. If she seeks her parents advice, it is only for seeking their opinion or out of respect for them. Is such a virgin girl allowed to marry, be it permanent or a temporary marriage, without the consent of her father?","If this means that the father has allowed her to marry whomsoever she wants or that he has withdrawn from interfering in the matter of her marriage, it is permissible for her to do so; otherwise, based on obligatory precaution, it is not permissible.","Sistani","marriage","marriage"
"585",607,"

There is a Muslim woman whose husband has left her for a long time now so much so that there is no hope of their getting reunited in the near future; she claims that she cannot stay without a husband because of the difficulty in living as a single woman in the West where she fears robbery and stealing by break-ins into the house. Can she ask for divorce through the religious judge so that he may pronounce the divorce, whereby she can, remarry whosoever she wants?","f the husband has abandoned her, she can take her case to the religious judge who will then force the husband to choose one of two courses: either end the abandonment or release her [by divorce] so that she can marry someone else. If he refuses to do any of the two, and it is not possible to force him to adopt one of the two alternatives, the religious judge has the right to pronounce the divorce at her request.
But if the wife is the one who has left her husband without any [valid] justification, there is no way for the religious judge to pronounce her divorced.","Sistani","divorce,divorce,wife,divorce","divorce,divorce,wife,divorce"
"586",608,"

A Muslim couple got separated for a long time. Is it permissible for him to marry, temporarily or permanently, a woman from Ahlul Kitab without the knowledge of his Muslim wife? Is it permissible for him to marry, with the permission of his Muslim wife?","For a Muslim man to marry a woman from Ahlul Kitab permanently is against the compulsory precaution in any circumstance. And his temporary marriage to a Jewish or a Christian woman is allowed, only if he is not already married to a Muslim wife. If he has a Muslim wife, temporary marriage with an Ahlul Kitab woman is not permissible without her consent; nay, even with her consent, it is not permissible, based on compulsory precaution.","Sistani","woman,marriage,woman,wife,wife,marriage,woman","woman,marriage,woman,wife,wife,marriage,woman"
"588",611,"

Is it allowed to do Mut’ah before permanent marriage?","There is no problem in temporary marriage with the permission of the girl's father. However, if the two parties want to contract permanent marriage after temporary marriage, the remaining time of the fixed-time marriage should either expire or the husband should forgo it.","Sistani","marriage,marriage,marriage,marriage","marriage,marriage,marriage,marriage"
"592",615,"

I had sex with my wife before we contracted marriage? Is my marriage valid? What is my towards Allah?","Your marriage is in order and you should perform Tawbah for the sin you have committed.","Sistani","marriage","marriage"
"620",644,"

Is it obligatory upon a deceased man's son to give the qaza of his father's prayers?","If a person did not offer some of his obligatory prayers, and did not care to give qadha, in spite of being able to do so, after his death, it is upon his eldest son, as an obligatory precaution to perform those qadha, provided that the father did not leave them as a deliberate act of transgression. If the son cannot do so, he may hire someone to perform them. The qadha prayers of his mother is not obligatory upon him, though it is better if he performs them.","Sistani","mother","mother"
"623",647,"

Is it obligatory on a man's eldest son to give the Qadha of his fast and prayers after his death?","If a person did not offer some of his obligatory prayers, and did not care to give Qadha, in spite of being able to do so, after his death, it is not necessary upon the eldest son to perform the Qadha. If he missed prayers and cared about performing Qadha but he failed to do so, the eldest son should perform the Qadha or he may hire someone to perform them. The Qadha prayers of his mother is not obligatory upon him, though it is better if he performs them.","Sistani","mother","mother"
"632",658,"

What are the conditions for slaughtering of an animal?","There are certain conditions for the slaughtering of an animal. They are as follows:-
   1. A person, a man or a woman, who slaughters an animal must be a Muslim. An animal can also be slaughtered by a Muslim child who is mature enough to distinguish between good and bad, but not by non-Muslims other than Ahle Kitab, or a person belonging to those sects who are classified as Kafir, like, Nawasib - the enemies of Ahlul Bait (A.S.). In fact, even if Ahle Kitab non-Muslim slaughters an animal, as per precaution, it will not be halal, even if he utters 'Bismillah'.
   2. The animal should be slaughtered with a weapon made of iron. However, if an implement made of iron is not available, it should be slaughtered with a sharp object like glass or stone, so that the four veins are severed, even if the slaughtering may not be necessary, like when the animal is on the verge of death.
   3. When an animal is slaughtered, it should be facing Qibla. If the animal is sitting or standing, then facing Qibla would be like a man standing towards Qibla while praying. And if it is lying on its right or left side, then its neck and stomach should be facing Qibla. It is not necessary that its legs, hands and face be towards Qibla.
      If a person who knows the rule, purposely ignores placing the animal towards Qibla, the animal would become haraam; but if he forgets or does not know the rule, or makes a mistake in ascertaining the Qibla, or does not know the direction of Qibla, or is unable to turn the animal towards Qibla, there is no objection. As a recommended precaution, the person slaughtering should also face Qibla.
   4. When a person wants to slaughter an animal, just as he makes the Niyyat to slaughter, he should utter the name of Allah, and it suffices if he says 'Bismillah' only, or if he utters 'Allah'. But if he utters the name of Allah without the intention of slaughtering the animal, the slaughtered animal does not become Pak and it is also haraam to eat its meat. And if he did not utter the name of Allah forgetfully, there is no objection.
   5. The animal should show some movement after being slaughtered; at least it should move its eyes or tail or strike its foot on the ground.This law applies only when it is doubtful whether or not the animal was alive at the time of being slaughtered, otherwise it is not essential.
   6. It is necessary that the blood should flow in normal quantity from the slaughtered animal. If someone blocks the vein, not allowing blood to flow out, or if the bleeding is less than normal, that animal will not be halal. But if the blood which flows is less because the animal bled profusely before the slaughter, there is no objection.
   7. The animal should be slaughtered from its proper place of slaughtering; on the basis of recommended precaution, the neck should be cut from its front, and the knife should be used from the back of the neck.","Sistani","woman","woman"
"640",666,"

Is it permissible to be party to temporary marriage with a woman who is “known for adultery”, if no other woman is available and the person is in desperate need of marriage?","Based on obligatory precaution, one should refrain from marrying such a woman except after her repentance..","Sistani","woman","woman"
"641",667,"

Is it permissible for a Muslim man to marry a non-Muslim woman who is still married to a non-Muslim man? Is there an ‘idda period for her when she separates from her non-Muslim husband? What is the period of that ‘idda? Is it permissible to have sexual relations with her during the time when she is in the ‘idda from her non-Muslim husband? If she embraces Islam, how long will her ‘idda be,  if she intends to marry a Muslim man?","It is not permissible to marry her while she is married to a non-Muslim in a marriage which is recognized by them because she is a married woman. It is permissible to marry her temporarily after her divorce and after the completion of the ‘idda from her non-Muslim husband. (The period of her ‘idda is not different from the ‘idda of a Muslim woman.) Therefore, it is not permissible before the completion of the ‘idda.
If she becomes a Muslim after having had sexual relations with her non-Muslim husband and the husband has not embraced Islam, it is precuationarily obligatory for a Muslim not to marry her until after the completion of her ‘idda. But if she became a Muslim without having ever established sexual relations with her non-Muslim husband, then their marriage will be annulled immediately and there is no ‘idda in such a case.","Sistani","marriage,woman,divorce,woman,marriage","marriage,woman,divorce,woman,marriage"
"643",669,"

A Muslim man who is married to a Muslim woman migrated from his country. After a longthy stay in the West country, he wants to embark on temporary marriage with a woman from Ahlul Kitab just a few days after divorcing his Muslim wife. Is this permissible for him, espeually when his Muslim wife is still in her waiting period (al-‘idda)?","The temporary marriage mentioned in the question is considered invalid because the wife who is in the waiting period of a revocable divorce is still considered as a wife. It has just been mentioned that to temporary marry an Ahlul Kitab woman while one has a Muslim wife is not permissible [as a matter of compulsary precaution].","Sistani","marriage,wife,divorce,wife,woman,wife","marriage,wife,divorce,wife,woman,wife"
"644",670,"

A Muslim couple got separated for a long time. Is it permissible for him to marry, temporarily or permanently, a woman from Ahlul Kitab without the knowledge of his Muslim wife? Is it permissible for him to marry, with the permission of  his Muslim wife?","For a Muslim man to marry a woman from Ahlul Kitab permanently is against the compulsory precaution in any circumstance. And his temporary marriage to a Jewish or a Christian woman is allowed, only if he is not already married to a Muslim wife. If he has a Muslim wife, temporary marriage with an Ahlul Kitab woman is not permissible without her consent; nay, even with her consent, it is not permissible, based on compulsory precaution.","Sistani","woman,marriage,woman,wife,wife,marriage,woman","woman,marriage,woman,wife,wife,marriage,woman"
"646",672,"

Some Western governments allow the daughter to be independent of her parents, after she has passed the age of sixteen. If she seeks her parents advice, it is only for seeking their opinion or out of respect for them. Is such a virgin girl allowed to marry, be it permanent or a temporary marriage, without the consent of her father?","If this means that the father has allowed her to marry whomsoever she wants or that he has withdrawn from interfering in the matter of her marriage, it is permissible for her to do so; otherwise, based on obligatory precaution, it is not permissible.","Sistani","marriage","marriage"
"647",673,"

I am married to woman that lives by her self and she is completely dependent on her self. We are married for one year but we have still long time for our marriage to end. However we started to have some problems together and we both believe that we cannot live with each other any more. I wanted to know, is it possible to end our marriage before the time that we agreed on by me saying that word that she is divorced?","If the marriage is temporary, divorce is not required, you can forgo the remaining time and separate from her.","Sistani","marriage,divorce","marriage,divorce"
"651",677,"

Is it permissible for a woman to get her eyebrows tattooed?","Since the tattoos are done under the skin, there is no problem. However, if they are considered zinah (adornment) in common view, she must cover them from non-mahram men.","Sistani","zina,mahr","zina,mahr"
"668",3100,"
									   If I am in the taql<U+012B>d of a certain marja, should I follow him only on Sharia matters or all matters?
								","
									   It is obligatory on the individual to refer to the marja in learning about the religious rulings and implementing them in the matters of his worships, dealings, family relations and relations with other people, since the sharia has rulings and guidance for all issues that one could run into. In other aspects of life, the marja is referred to as an advisor since he has knowledge on the Holy Quran and the teachings of the Ahlulbait (peace be upon them).
								","Hakeem","family","family"
"672",7100,"
									   What is the age of religiously recognized adulthood (bulugh)?
								","
									   Religious adulthood is recognized for the male by any of the following three signs, whichever happen first  1. The presence of hard hair on his face or in the pubic area. 2. The release of semen, whether it was during a wet dream or when awake. 3. The completion of fifteen lunar years. The female reaches adulthood when she completes the age of nine lunar years.
								","Hakeem","female","female"
"673",8100,"
									   When I go to study in the Islamic seminary of Najaf, what do I have to study to become a mujtahid?
								","
									   A believer should aim to fulfill the religious responsibilities of upholding the orders of the Sharia; one of them is learning the Islamic laws and teaching them. This could be achieved by learning more about the religion – and not necessarily reaching the level of ijtihad – by which a believer could serve Islam. One could serve the religion and be a role model amongst his society, family and friends by being obedient to the Islamic laws and by spreading the religious teachings in the areas where he resides. Therefore, ijtihad is not a goal that a student should have from the beginning. Ijtihad is a talent that can be achieved by studying and with the guidance of Almighty Allah. A student of Islamic studies should study hard and make use of his time as much as possible. If he achieves this, then he can thank Almighty Allah for this bounty. If he does not, he can still serve the religion.
								","Hakeem","family","family"
"686",21100,"
									   If I am in the taql<U+012B>d of a certain marja, should I follow him only on Sharia matters or all matters?
								","
									   It is obligatory on the individual to refer to the marja in learning about the religious rulings and implementing them in the matters of his worships, dealings, family relations and relations with other people, since the sharia has rulings and guidance for all issues that one could run into. In other aspects of life, the marja is referred to as an advisor since he has knowledge on the Holy Quran and the teachings of the Ahlulbait (peace be upon them).
								","Hakeem","family","family"
"687",22100,"
									   What is the age of religiously recognized adulthood (bulugh)?
								","
									   Religious adulthood is recognized for the male by any of the following three signs, whichever happen first  1. The presence of hard hair on his face or in the pubic area. 2. The release of semen, whether it was during a wet dream or when awake. 3. The completion of fifteen lunar years. The female reaches adulthood when she completes the age of nine lunar years.
								","Hakeem","female","female"
"724",5910,"
									   I am not following the rulings of Ayatollah Sayyid Mohammed Saeed Al-Hakeem, but wish to follow his rulings in regards to marriage issues. If I do so, will my marriage be valid?
								","
									   If the marja who you emulate has an actual edict on the issue related to marriage – or any other issue – then one must act in accordance to his edict and he is not permitted to refer to another marja. If the opinion of your marja is compulsory precaution on a particular ruling, then it is permissible to refer to the opinion of another marja.
								","Hakeem","marriage","marriage"
"728",6310,"
									   When I go to study in the Islamic seminary of Najaf, what do I have to study to become a mujtahid?
								","
									   A believer should aim to fulfill the religious responsibilities of upholding the orders of the Sharia; one of them is learning the Islamic laws and teaching them. This could be achieved by learning more about the religion – and not necessarily reaching the level of ijtihad – by which a believer could serve Islam. One could serve the religion and be a role model amongst his society, family and friends by being obedient to the Islamic laws and by spreading the religious teachings in the areas where he resides. Therefore, ijtihad is not a goal that a student should have from the beginning. Ijtihad is a talent that can be achieved by studying and with the guidance of Almighty Allah. A student of Islamic studies should study hard and make use of his time as much as possible. If he achieves this, then he can thank Almighty Allah for this bounty. If he does not, he can still serve the religion.
								","Hakeem","family","family"
"757",9210,"
									   Is prayers obligatory while a woman is bleeding due to a miscarriage? ","
									   If the miscarried fetus was recognized as a child 
(a)	If she has a habit of duration, then it is obligatory not to offer the prayers and not to have sexual intercourse with her husband for the number of days that corresponds to her menstruation period. If she continues to see blood after this period, then as an obligatory precaution she should do the same for a further day. She may continue to do so until the completion of the ten days. The remaining period of discharge is considered to be as Istihadha.
(b)	If she does not a habit of duration, she should observe the above mentioned rulings for ten days. The remaining period of discharge is considered to be as Istihadha, and based on an obligatory precaution she should observe the rules of the woman during lochia (Nifas) for the completion of eighteen days.
If the miscarried fetus was not recognized as a child, like if it is a clot or lump of flesh, then based on an obligatory precaution she should offer the prayers based on the appropriate level of Istihadha and refrain from performing what is prohibited on the woman during lochia (Nifas).","Hakeem","woman,woman","woman,woman"
"758",9310,"
									   How many days after giving birth should I start praying? And how should I be showering after that? After how many days from the birth date can I and my husband retain our sexual life?
								","
									   If a woman has a habit of duration, she should observe the rules for women during their menstrual period for the same number of day as the days of the menstruation period, so she should not perform her prayers and not have sex with her husband. If she continues to see blood after this period, then as an obligatory precaution she should do the same for a further day. She may continue to do so until the completion of the ten days. The remaining period of discharge is considered to be as Istihadha.
If she does not a habit of duration, she should observe the above-mentioned rulings for ten days. The remaining period of discharge is considered to be as Istihadha, and based on an obligatory precaution she should observe the prohibitions of the woman during lochia (Nifas) and act upon the rules of Istihadha for the completion of eighteen days.
								","Hakeem","woman,women,woman","woman,women,woman"
"759",9410,"
									   I had my child and I was told that I have to wait for 40 days before taking the Nifas ghusl, and I cannot pray, fast ,etc during that time. Is this true?
								","
									   The duration of Nifas is the same as that of the regular monthly period, which cannot be more than ten days, and does not last for forty days. During the time of Nifas, all the rules that apply to the woman in menstruation applies to her here.
								","Hakeem","woman","woman"
"851",18610,"
									   Sometimes when I am at the university it is very hard to find a washroom, in which I can perform my ablution without causing any problems, especially in taking off my shoes and my headscarf to wipe the feet and head. So is it permissible to wipe over my shoes and hijab in such a scenario?
								","
									   It is necessary to wipe on the head and the feet directly, and it is not sufficient to wipe on the scarf, the shoes or the socks. A woman is urged to find a place where she is not seen by men and uncover her head and feet where she can perform the proper way of wudhu.
								","Hakeem","woman","woman"
