"","X","Question","Answer","Speaker"
"496",496,"

A woman, who is not obedient to her husband and does not carry out her matrimonial obligations, had, without his consent, left her matrimonial home and stayed with her parents for seven months. She, then went to a non-Islamic court, filed a divorce application, and demand maintenance and custody of the children. Has such a woman, who has violated her marital duties, any right in anything from her husband?","The said woman is not entitled to shari'i maintenance. As for her dowry and her right in nursing her offspring for the hawlayn (the two years), it should not be forfeited by virtue of nushouz (recalcitrance of the woman toward her husband).","Sistani"
"497",497,"

What is the quantity of the maintenance which a husband should provide his wife with? Moreover, can a man force his wife out of his home during Iddah (waiting period)?","The amount of maintenance, from the point of clothing, food and shelter, must be in accordance with the wife's social status. During the Iddah, husband must not kick his wife out of the house.","Sistani"
"498",498,"

I would like to have more information regarding the depth and extent of a husband's obligations for maintenance and expenses of the wife. Is it true that the husband should provide the same level of life (luxuries, maids, education) as the wife had before marriage? Does the answer differ from one scholar to another? Are there any hadith and/or rulings in this regard?","The husband is obliged to provide his wife with food, clothing and housing in conformity with her social status and dignity; dignity meaning the same level of life that she had before marriage. In this regard, the scholars share the same view.","Sistani"
"499",499,"

If a wife and husband are both working, and the husband incurs some debts, is it obligatory for the wife to help the husband in paying his debt or she can use her money as she wishes.","It is not necessary for the woman who is working to give her wages to her husband. The husband does not have the right to make her do so, but if the wife helps her husband from her own desire, then she has performed a praiseworthy action.","Sistani"
"500",500,"

Is it permissible for women to dance in front of other women or for men to dance in front of other men in a gender-wise segregated gathering with or without music?","Dancing of women in front of women or dancing of men in front of men is problematic, as a matter of obligatory precaution, one must refrain from it. The rules governing music have already been discussed earlier.","Sistani"
"501",501,"

I am studying in a new university where girls and boys sit together in the same class.  What is the Islamic law about co-education?","As for mixing up with the opposite gender, the woman must observe complete Islamic modest dress code and if she needs to talk to a man, she must avoid changing her voice to make it more delicate and attractive and she should also avoid talking in a way which is inappropriate. She must observe her modesty. Generally speaking, it is better to avoid mixing up with strangers (Na-Mahram men) because normally the Shari'ah limits are not observed in such situations.","Sistani"
"502",502,"

What is the fatwa about co-education? Is co-education permissible?","If there is an evil in co-education, it is not allowed and Islam does not permit it. Normally, there is sin in co-education environments.","Sistani"
"503",503,"

What is the Islamic opinion to swimming in unisex environments such as the beach, swimming pools, and other areas?","It is not permissible.","Sistani"
"504",504,"

What is the philosophy of Azadari (mourning and lamentation) for Imam Husain?","There is no doubt that the tragedy of Kerbala, when ascribed to the killers, is a criminal and terrible act. However when ascribed to Husain (A) himself, it represents a conscious confrontation and a courageous resistance for a sacred cause. The whole nation had failed to stand up to Yazid. They had succumbed to his will, and deviation and regression towards the pre-Islamic ways were increasing. Passiveness by Husain (A) in this situation would have meant the end of Islam as we know it. Thus Husain (A) took upon himself the responsibility of the whole nation. The greatest tragedy was that one who stood up for the noblest of causes, the defense of Islam, was cut down in so cruel a manner. It is for this reason that the sacrifice of Husain (A) is commemorated annually throughout the Muslim world. Our sorrow never abates as we relive the tragedy. The commemoration of Ashura on the 10th of Muharram every year serves to remind us of the sacrifices of the family of the Prophet (S). It also makes us aware of the people, then and now, who tried to destroy Islam and the family of the Prophet (pbuh) and all that they stood for - as well as those who watched, listened and did nothing.","Sistani"
"505",505,"

Is mourning for Imam Hussain and other Infallibles (a.s.) recommended?","Yes, it is recommended and God will reward those who sincerely revive their memories and commemorate their martyrdom?","Sistani"
"506",506,"

I have a question about matam (Azadari) and the manner our people are holding Muharram rituals.","The main purpose of mourning during 'Ashura, is to respect and revive the symbols of religion and remember the suffering of Imam Hussain (a.s.), his companions, and his uprising to defend Islam and prevent the destruction of the religion by Bani Umayyad dynasty. These rites must be done in such a way that in addition to serving that purpose, it draws the attention of others to these lofty goals.","Sistani"
"507",507,"

Please let me know Friday Prayer is mustahab or wajib and whether it is sufficient for Zuhr prayer? Kindly, answer with details.","Friday prayers consists of 2 Rak'ats like Fajr prayers. The difference between these two prayers is that Namaz-e-Jumuah has two sermons before it. Namaz-e-Jumuah is Wajib Takhyiri, which means that we have an option to offer Jumuah prayers, if its necessary conditions are fulfilled, or to offer Zuhr prayers. Hence, if Namaz-e-Jumuah is offered then it is not necessary to offer Zuhr prayer.","Sistani"
"508",508,"

What are the necessary qualifications of a prayer leader?","The Imam of the congregational prayers should be adult, sane, ithna Ashari Shia, adil (just), of legitimate birth and with correct recitation. Furthermore, if the follower is a male, the Imam also should be a male. To follow a boy of ten years of age is a matter of Ishkal.","Sistani"
"509",509,"

Can one say one’s congregational prayer behind a Sunni Imam with the intention of Jama'at (congregation)? And should one recite al-hamd on his own?","It is permissible to offer prayer in their congregational prayer. However, it is obligatory upon you to recite al-Hamd and Sura-e Tawhid yourself – be the recitation in low voice though.","Sistani"
"510",510,"

Some times, I see a group of believers say prayer collectively. As far as I know that kind of prayer is called 'congregational prayer'. Let me know what the procedure of congregational prayer is.","If there are two or more people, they can conduct a congregational prayer. The important requirement here is that the person who is going to lead the prayer (imam) must fulfill certain conditions. Those taking part in congregational prayers shall receive added thawab (reward from God) especially when the imam is a learned man and there are more people praying congregationally.","Sistani"
"511",511,"

I am  years old and a convert to Islam of five months. My question is, being a practitioner of Twelver Jaf'ari Islam is it permissible for me to pray behind a Sunni Imam for Salaatul-Jummah and for regular congregational prayers, and is it required to prostrate on Turbah inside a mosque?","Taking part in Friday and congregational prayers of the Ahl-e Sunnat is permissible in areas where Taqiyah (dissimulation) is required. If you are not going to face a problem, you should, as far as possible, prostrate on a stone or anything upon which Sajda (prostration) is permissible. Prostration on carpets in the case of Taqiyah or out of necessity is permissible and there would be no objection in it. But if you are not offering your prayers with them out of Taqiyah it is not necessary to attend their congregational prayers and you can offer your prayers separately.","Sistani"
"512",512,"

Which is better, prayering in congregation or praying individually?","Praying in congregation (jama'at) is preferable to praying individually. Its preference is stronger in the dawn, sunset and night prayers. A noble hadith says: ""A salat [in congregation] behind a learned scholar is like [praying] a thousand cycles; and behind a Qurayshi is like [praying] a hundred cycles."" As the number of the worshippers increases, the preference [and the reward] also increases.","Sistani"
"513",513,"

Which is preferred for a woman, praying at home individually or praying in jama'ah (congregation) in a mosque?","It is recommended for women to attend congregational prayers as evidenced by an authentic tradition from the Commander of the Faithful, Ali (AS) that women used to attend congregational prayers but they were ordered to linger their sajda (prostration)  because some men were wearing tight garments but there is another authentic tradition which says that a woman's prayer at home is more virtuous than her prayer in a mosque. However, the conclusion that can be drawn from both traditions is that a woman's prayer at a place where she is not seen by non-mahram men (strangers) is more virtuous. If she can perform her prayers in a mosque without being seen by strangers, the prayer in a mosque would be more virtuous in that case. God knows best.","Sistani"
"514",514,"

Is it permissible to manufacture, sell, or buy musical instruments that are made for children’s play? And is it permissible for adults to use them?","If the music that is suitable for entertainment and amusement gatherings comes out of it, then it is neither permissible to deal in, nor are adults allowed to use them.","Sistani"
"515",515,"

Musical instruments are of different kinds. Sometimes they are used in musical gatherings and sometimes for soothing the soul. Is it then permissible to buy these instruments, manufacture them, deal in them, or play them to soothe the soul or listen to the ir sounds when someone else is playing them?","It is not permissible to deal in the instruments of harãm entertainment: neither selling nor buying, just as it is not permissible to manufacture them and accept remuneration for making them.
“An instrument of harãm entertainment” means that its physical shape—that gives its value and eventually the purpose for acquiring it— is not suitable except for use in harãm entertainment.","Sistani"
"516",516,"

Is it permissible to listen to revolutionary songs accompanied by sounds of piano, lute, drum, wind-pipe, and electronic piano?","If the music accompanying it is that which is suitable for entertainment and amusement gatherings, it is not permissible to listen to it.","Sistani"
"517",517,"

Is it permissible for women to sing in the a wedding party in whatever tune, even if it is suitable for the gatherings of sinful people? Is it permissible for them to use musical instruments while singing that night? Is it permissible for them to sing, wearing henna [on the bride’s hand and feet], or on the eve of the seventh night [after the marriage]? Or is the permission restricted to the marriage eve?","Based on compulsory precaution, they should refrain from it, even on the marriage eve, let alone other occasions. As for the issue of music, its rules have already been mentioned earlier.","Sistani"
"518",518,"

What is the ruling about watching films with sexual contents?","It is not permissible to look with lust, rather, based on obligatory precaution, even looking without lust is forbidden.","Sistani"
"519",519,"

Is it permissible for a woman to go out of her house for some errands perfumed, with the fragrance of her perfume reaching non-mahram men?","She ought not do that. It is not permissible if it tempts a non-mahram man or normally causes him excitement.","Sistani"
"520",520,"

It is normal these days for a woman to put on mascara and make-up, wear rings, necklaces and bracelets for beauty and then go out in front of people in the markets and streets.","This is not permissible for her except for collyrium and rings provided that she is safe from falling into forbidden activities and does not intend by it to excite non-mahram men.","Sistani"
"521",521,"

What is the proof of sighting the moon?","The evidence could be one or more of the following:
1. You have sighted it yourself.
2. The testimony of two men of impeccable character, provided that you do not have any knowledge of instances that they may be wrong, and that you do not dispute their testimony.
3. The lapse of thirty days on the month of Sha’ban, thus reaching certitude that Sha’ban has come to an end and that Ramadhan shall commence.
4. When the news of the birth of the moon of Ramadhan becomes commonplace that you are sure of the sighting.","Sistani"
"522",522,"

I felt so humble and said to my father, “It is time I should fast the month of Ramadhan, and I shall start this year. However, what is the way to knowing that the month has started?","You should be able to know that by sighting the new moon in your country or nearby countries that share the same horizon; in other words, if the crescent is sighted in one country, it should be seen in the other, were it not for natural barriers, such as clouds, mountainous terrain, and the like.","Sistani"
"523",523,"

If Ramadhan crescent is sighted in one city would it suffice the sighting in another city?","Should the new moon be sighted in a city, it would suffice the sighting in another city, provided the two fall on the same horizon. That is, if the new moon was sighted in the first town, there would be a distinct possibility of sighting it in the second, barring any obstacles, such as clouds and high mountains .","Sistani"
"524",524,"

What is the rulings of His Eminence Grand Ayatullah Sayyid Ali Sistani (May Allah protect him) on sighting of the new moon crescent and determining the st day of the month?","Sighting of the new moon is ascertained by knowledge of the actual sighting or through solid news of such sighting, or some other means. Certainty can also be achieved through common knowledge. Amongst other sources of ascertaining the sighting of the new moon is the lapse of thirty days on Sha’ban’s crescent for the start of Ramadhan to be confirmed, or thirty days on the crescent of Ramadhan for the new moon of Shawwal to be confirmed [and so on]. Sighting can also be confirmed by the evidence of two witnesses of impeccable character (adl).
However, sighting of the new moon is not recognised by the evidence of women, or by the evidence of one just witness, even with oath, or by the words of astrologers. Neither by its absence after dawn dusk, so that it could be said that it belongs to a previous night, nor by the evidence of two just witnesses, if the evidence is not confined to their own sighting of the newly born moon. Sighting is not recognised too when it is seen before zawaal so that the day of sighting be from the ensuing month. The impression of a ring it may give, proving that it could belong to a previous night, cannot be accepted as well.","Sistani"
"525",525,"

Does waqf  have a particular mechanism?","No, suppose a person built a place for public worship, not necessarily looking like a traditional mosque building, intending it to be a mosque, then it shall be deemed thus.","Sistani"
"526",526,"

Is it permissible for the people of Ahlul Kitãb and other non-Muslims to enter the mosques (masjid) and other Islamic places of worship [like husayniyya or imambargah which are not masjid]? And is it necessarily for us to enforce the hijãb on those [non-Muslim women] who do not observe hijãb and allow them to enter [the mosque or places of worship], if it is permissible?","Based on obligatory precaution, it is not permissible for them [i.e., non-Muslims] to enter the mosque (masjid). As for their entering the places of worship, etc, there is no problem in it. If their entry [in imambargah or a husayniyya or a center] without hijãb is considered as a sign of disrespect, hijãb should be enforced on the [non-Muslim] women.","Sistani"
"528",528,"

I am living in India and I have a lot of doubts about things I am using and I eating. What is my duty about such things?","A well known religious law says: ""Everything is ritually pure for you unless you come to know that it is ritually impure."" This law declares everything to be pure unless one becomes sure a particular item has become impure. And as long as you are not sure that it has become ritually impure (najis), it is to be considered pure and you can apply all the rules of purity to it without any hesitation or doubt.","Sistani"
"529",529,"

What is the hokm (ruling) about Ahlul Kitab (people of the Book)? Are they clean? How should we deal with them?","The Ahlul Kitab (that is, the Jews, the Christians and the Zoroastrians) are ritually pure (tahir) as long as you do not know that they have become ritually impure (najis) by coming into contact with an impure object. You can follow this ruling when dealing with them.","Sistani"
"530",530,"

The earth is one of the purifying agents. Following the example of a shoe's sole that can be purified by walking on the earth, would the same rule apply to car tires?","The earth cannot purify the tires.","Sistani"
"531",531,"

Where does the domino effect of mutanajjis items stop when it is no longer wet?","The first mutanajjis item would make the item that comes into contact with it impure; similarly, the second mutanajjis would make the item that comes into contact with it impure; but the third mutanajjis can no longer make other items impure, irrespective of whether it is wet or dry.","Sistani"
"532",532,"

If a dog licks my body or clothes, how should I purify it?","It is sufficient to wash it once. However, if the water is little, it is necessary to rid it of the water by wringing.","Sistani"
"533",533,"

Are the Sikhs considered to be among the followers of the past revealed religions like the Jews and the Christians?","They are not counted among the People of the (Revealed) Books (the Ahlul Kitab).","Sistani"
"534",534,"

Are the Bhuddhists among the Ahlul Kitab?","They are not from them.","Sistani"
"535",535,"

Can Muslim, who rents a fully furnished house in the West, consider everything in it to be ritually pure as long as he does not find any trace of impure things in it, even if the previous occupant was from Ahlul Kitab, i.e., a Christian or a Jew? What if the previous occupant was a Buddhist or an atheist who does not believe in God and the prophets?","Yes, he can consider everything in the house ritually pure as long as he does not know that it has become impure. Just conjecture or doubt about impurity is of no value.","Sistani"
"536",536,"

The floor of most houses in the West is covered with carpet which is glued to the floor in such a way that it is difficult to lift it off. How can such a carpet be rendered pure (tahir), if it becomes impure with urine or blood? The water used to purify in both the cases could be qalil or kathir. Please explain the ruling in both cases.","If it is possible to wipe the water off the carpet by using a piece of cloth or a vacuum cleaner, it can be purified with qalil water, provided that the water is wiped off the carpet, in the process. Conversely, it must be purified by kathir water [i.e., by using a hose pipe connected to the tap].","Sistani"
"537",537,"

In the West, there are many public laundry places in which Muslims and non-Muslims wash their clothes. Is it permissible for us to pray in the clothes washed in such facilities, especially when we have no knowledge whether or not the washing machines are connected to the kurr water at some stages of the washing, and whether or not it purifies the clothes in the process of washing?","There is no problem in praying in those clothes that were pure before washing them [in such facilities] as long as you are not aware that they have become impure. [In other words, what goes in the public washing machine as pure comes out as pure unless you are sure that it has become impure.]
Similarly, [you can pray in] the impure clothes [that were washed in the public laundry machines] provided that you are reassured:
that the impure element, if any, has been washed away;
that the pure water covered the entire impure area twice (if it had become impure by urine and even if the water was connected to kurr source as an obligatory precaution) or just once (if it had become impure by other elements);
and that the water was removed from the clothes by wringing or other similar method [i.e., spinning of the machine] if it was qalil.
However, if you are not sure and just have conjecture that the garment has been purified as per religious requirement, the previously impure garment will still be considered impure and praying in it would not be valid.","Sistani"
"538",538,"

Is cream a barrier to water reaching the skin, and if so should it be removed prior to wudhu and ghusl?","Apparently the effect left on the skin after it is applied is nothing but just moisture, and so it does not constitute a barrier to water reaching the skin.","Sistani"
"539",539,"

Can a woman do wudhu or ghusl without removing her nail polish.","It is necessary to remove the nail polish.","Sistani"
"540",540,"

How can we know the time of mid-night? Do . hours the point of mid-night as it is commonly held by some people?","Midnight is halfway between sunset and true dawn. So if the sun sets at 7 p.m. and the true dawn begins at 4 a.m., then midnight will be at 11:30 p.m. The criteria for determining midnight are the timings of sunset and true dawn, which differ according to place and season.","Sistani"
"541",541,"

Can a person offer Salatul Layl before midnight, if he is unable to wake up before dawn.","Yes, he can.","Sistani"
"542",542,"

A person used to make mistakes in the way he performed his wudhu (minor ablution) or ghusl (major ablution). After many years, he comes to realize his mistakes. When he inquires as how to solve his problem, he is told: ""Repeat all your prayers and perform the pilgrimage again."" Since saying all the prayers and doing the pilgrimage again is difficult, is there a solution which would salvage his prayers and pilgrimage performed with wudhu and ghusl that he thought was correct? Is there such a solution as a concession to this person so that he does not become disheartened and rebellions against religious obligations in a society which encourages such kind of rebellion?","If he was ignorant out of innocence, and therefore made mistakes without causing harm (e.g., did not follow the proper sequence in washing the head and the other parts of the body in ghusl; or did the wiping of the head or feet [mash] with a new water), then his wudhu and ghusl will be considered correct; and, consequently, his past prayers and pilgrimage will also be considered correct.
But if he was ignorant out of negligence in learning the Islamic laws or did mistakes which do invalidate the act in general (e.g., leaving out some parts of the body which must be washed in wudhu or ghusl), there is no way to validate his past prayers and pilgrimage.
However, if there is the fear that he would totally rebel when asked to make up all the past prayers and pilgrimage, then it is not appropriate to ask him to do so. Maybe Allah will improve his situation in future.","Sistani"
"543",543,"

Is it okay to delay namaaz for a majlis or matam?","It is better to offer the prayers on time.","Sistani"
"544",544,"

Some people pray for years and even perform pilgrimage, yet they do not pay khums. Is it obligatory on them to repeat their prayers and pilgrimage?","Based on precaution, it is obligatory on them to repeat prayers and pilgrimage, if the particular dress that they used in prayers, in tawaf and in salat of tawaf was from items on which khums had become due.
However, if only the dress they used in salat of tawaf was from items on which khums had become due, and they were ignorant (even out of negligence) of the law or the status of the dress, their pilgrimage is valid, but they have to repeat salat of tawaf if they had no excuse for their ignorance. [In this case,] they have, as a matter of precaution to return to Mecca [to perform the salat of tawaf again], if it does not entail great difficulty; otherwise they can perform that salat wherever they are.
Similarly, they will have to do the pilgrimage again if the animal offered as a sacrifice was bought with money on which khums had become due. However, if they had bought it with money whose unspecific portion was liable for khums -as is the case normally - there is no problem in their pilgrimage, even if they used it from the money on which khums had become liable; of course, they will be responsible for that amount [for payment of khums].
All this is applicable, if they knew about the obligation of khums and the law forbidding them to utilize items on which khums has become wajib or if they were ignorant out of negligence. But, if they were ignorant out of innocence, their prayers and pilgrimage are valid.","Sistani"
"545",545,"

If a traveller leaves his home town immediately after the adhan of noon prayer, i.e. without saying that prayer, and reaches his destination after sunset, has he committed a sin? And is it obligatory on him to make up for noon prayer?","Yes, he has committed a sin by neglecting the obligatory prayer in its appropriate time, and he has to make it up.","Sistani"
"546",546,"

Is the ink that had dried [on our hands, for example] a barrier to perform wudhu or ghusl?","If it does not form a mass that would prevent water from reaching the skin, the wudhu and ghusl is valid. However, if one has doubt whether it forms a mass or not, it must be removed.","Sistani"
"547",547,"

Is it permissible for a Muslim to involve in pleasure by continuing to watch an entertaining movie even, though salat time is due, and then he goes to say his prayers just before it becomes overdue (qadha)?","It is not appropriate for a Muslim to delay the saying of salat from its preferred time (i.e., at the beginning of its time span) except for an excuse; what has been mentioned in the question is not an acceptable excuse.","Sistani"
"548",548,"

Is cream a barrier to water reaching the skin, and if so should it be removed prior to wudhu and ghusl?","Apparently the effect left on the skin after it is applied is nothing but just moisture, and so it does not constitute a barrier to water reaching the skin.","Sistani"
"549",549,"

Some women let their nails grow longer than necessary for beauty. Sometimes a nail breaks up, requiring a cover that must be placed over the broken nail. Knowing that such a cover prevents water from reaching the nail in wudhu and ghusl, is it permissible to use it? How should wudhu and ghusl be performed with that cover?","Wudhu and ghusl with such a cover over the nail is not valid; therefore, it is necessary to remove it for ablutions. And the purpose mentioned above for the cover is not justifiable.","Sistani"
"550",550,"

When should one say his salat full (tamam) and when should one say it qasr (two rakat instead of four)? Is the general perception about a person being resident of a city sufficient for him to say his salat fully [in that city]?","The conditions for qasr in travelling have been mentioned in the Manual of Islamic Laws. When a person considers residing in a city for a long time, and in the general perception it is considered as such, he is not considered as a traveller (e.g., if he intends to reside in that city for year and a half, it will be considered as his home-town after one month). But if he intends to stay in that city for a short while only and is considered, in the general sense, as a visitor, he should pray qasr.","Sistani"
"551",551,"

How can we know the time of mid-night? Do . hours the point of mid-night as it is commonly held by some people?","Midnight is halfway between sunset and true dawn. So if the sun sets at 7 p.m. and the true dawn begins at 4 a.m., then midnight will be at 11:30 p.m. The criteria for determining midnight are the timings of sunset and true dawn, which differ according to place and season.","Sistani"
"552",552,"

Eleven weeks ago I gave birth to a baby girl. However, since then I have been in a state of slight istihaza. when I read Sistani's Resalah I am under the impression that after the Nifas period and the  days Istihaza I would treat the blood to be Haiz if it fall during my Haiz habit (even if it does not bear signs of Haiz) and istihaza on other days. However, I have also been informed that since I am breastfeeding and it does not bear the signs, all of it is istihaza. Can you clarify this for me?","rom the time when the child birth takes place, the blood seen by the mother is Nifas, provided that it stops before or on completion of the tenth day. While in the condition of Nifas, a woman is called Nafsa.
If Nifas blood is seen by a mother for more than 10 days and she has a fixed habit of Hayz, then her Nifas will be equal to the duration of Hayz and the rest would be Istihaza. And, if she does not have a fixed habit of Hayz, she would take ten days as those of Hayz, and treat the rest as Istihaza","Sistani"
"553",553,"

Is it permissible for the husband to go to bed with his wife after the expiration of her Nifas (bleeding that occurs after childbirth, miscarriage, or abortion), which is ten days, and the continuation of discharge of an Istihadha  type, noting that bleeding continued for some eighteen days?","It is permissible, after the ten days.","Sistani"
"554",554,"

If a wife and husband are both working, and the husband incurs some debts, is it obligatory for the wife to help the husband in paying his debt or she can use her money as she wishes.","It is not necessary for the woman who is working to give her wages to her husband. The husband does not have the right to make her do so, but if the wife helps her husband from her own desire, then she has performed a praiseworthy action.","Sistani"
"555",555,"

I would like to have more information regarding the depth and extent of a husband's obligations for maintenance and expenses of the wife. Is it true that the husband should provide the same level of life (luxuries, maids, education) as the wife had before marriage? Does the answer differ from one scholar to another? Are there any hadith and/or rulings in this regard?","The husband is obliged to provide his wife with food, clothing and housing in conformity with her social status and dignity; dignity meaning the same level of life that she had before marriage. In this regard, the scholars share the same view.","Sistani"
"556",556,"

What is the quantity of the maintenance which a husband should provide his wife with? Moreover, can a man force his wife out of his home during Iddah (waiting period)?","The amount of maintenance, from the point of clothing, food and shelter, must be in accordance with the wife's social status. During the Iddah, husband must not kick his wife out of the house.","Sistani"
"557",557,"

A woman, who is not obedient to her husband and does not carry out her matrimonial obligations, had, without his consent, left her matrimonial home and stayed with her parents for seven months. She, then went to a non-Islamic court, filed a divorce application, and demand maintenance and custody of the children. Has such a woman, who has violated her marital duties, any right in anything from her husband?","The said woman is not entitled to shari'i maintenance. As for her dowry and her right in nursing her offspring for the hawlayn (the two years), it should not be forfeited by virtue of nushouz (recalcitrance of the woman toward her husband) .","Sistani"
"558",558,"

Can a person offer Salatul Layl before midnight, if he is unable to wake up before dawn.","Yes, he can.","Sistani"
"559",559,"

Can I offer Salatul Layl before midnight?","If you cannot wake up before dawn to offer them, you can offer  them before midnight.","Sistani"
"560",560,"

How can we know the time of mid-night? Do . hours the point of mid-night as it is commonly held by some people?","Midnight is halfway between sunset and true dawn. So if the sun sets at 7 p.m. and the true dawn begins at 4 a.m., then midnight will be at 11:30 p.m. The criteria for determining midnight are the timings of sunset and true dawn, which differ according to place and season.","Sistani"
"561",561,"

Is it enough for night prayers to read only Salat al-Shif` & al-Witr?","It is permissible to offer al-Shaf` and al-Witr only. It would also be sufficient to offer al-Witr alone.","Sistani"
"562",562,"

What is the difference between Ahl-e Kitab (the People of the Book) and the rest of the unbelievers with respect to Shari'ah law?","Ahl-e Kitab (Christians, Jews and Zoroastrians) are ritually pure and it is permissible to eat their foods even if we know that they have touched the food with wet hands. Yes, if their food contains meat, it is necessary that the meat should be halal. As for those of non-Muslims who are not from the People of the Book, they are ritually impure and their food is najis, if it has been touched with a wet hand by them.","Sistani"
"564",564,"

Is it permissible to engage in network marketing or work in pyramid companies?","His Eminence, Grand Ayatollah Sistani (may Allah grant him long life) does not allow or rectify such transactions.","Sistani"
"565",565,"

Are collyrium and rings among the exceptions in Shari'ah?  In other words, is it permissible to wear in front of na-mahram men ?","Although these are among the exceptions and women can wear them in front of non-mahram men, it is necessary that they do not intend to show them to non-mahram and that wearing them does not generally entail any evil and she , at the same time, does not know that she will fall into a sin by wearing them. The precaution is to avoid wearing them in all situations.","Sistani"
"566",566,"

What is the present day equivalent in mithqal or grams of the weight in gold known as “al-himsa”?","Al-Himsa is 1/24 of the mithqãl as-sayrafi; and the latter is 4.64 grams; so the weight of al-himsa will be 0.193 grams.","Sistani"
"567",567,"

Is it permissible for men to wear white or yellow gold?","It is not permissible .","Sistani"
"568",568,"

Is it admissible using of gold and silver cuff-links, pins and tie pins?","It is forbidden for man to use gold ornaments.","Sistani"
"569",569,"

Is it haram for men to wear an earring? If not, can he pray with his earring on?","He must avoid wearing it as an obligatory precaution.","Sistani"
"570",570,"

If an organ of an atheist is transplanted in a Muslim’s body, would it be considered ritually pure (tãhir) when it is considered, after transplantation, as part of the Muslim’s body?","An organ extracted from the body is ritually impure (najis) irrespective of whether it came from a Muslim or a non-Muslim. And when it becomes, by rejuvenation, part of a Muslim’s body or of someone who is considered a Muslim, it becomes tãhir.","Sistani"
"571",571,"

Are we allowed to donate our organs upon our death? For example our heart, liver, kidneys? Is the soul still attached to the body once we are dead, or is that not true?","It is permissible, but it is not  permissible, as a measure of precaution, to cut an organ of a dead Muslim if he bequeathed, unless a Muslim’s life is in danger.","Sistani"
"572",572,"

Is mercy killing allowed?","No, mercy killing is not permissible.","Sistani"
"573",573,"

Is it permissible to remove a life-support machine attached to a dying person, and the doctors state there is no hope in his recovery?","It is not permissible at all to remove it.","Sistani"
"574",574,"

What are the conditions for validity of an oath?","The conditions for validity of an oath are:
   1. A person who takes an oath should be Baligh and sane, and should do so with free will and clear intention. Hence, an oath by a minor, an insane person, an intoxicated person, or by a person who has been coerced to take an oath, will not be in order. Similarly, if he takes an oath involuntarily, or unintentionally, in a state of excitement, the oath will be void.
   2. An oath taken for the performance of an act which is haraam or makrooh, is not valid. Similarly, an oath for renouncing an act which is obligatory or Mustahab is also void. And if he takes an oath to perform a normal or usual act, it will be valid, if that act has any preference in the estimation of sensible people.
      Similarly, if he takes an oath for renouncing a usually permissible act, it will be valid if it is deemed more preferable than its performance, by the sensible people. In fact, in each case, his own judgement about the preferences will be enough to grant validity to the oath, even if other sensible people may not concur.
   3. The oath must be sworn by one of those names of the Almighty Allah which are exclusively used for Him, (e.g. 'Allah'). And even if he swears by a name which is used for other beings also, but is used so extensively for Him, that when any person utters that name one is reminded of Him Alone, for example, if he swears by the name Khaliq (the Creator) and Raziq (the Bestower), the oath will be in order.
      In fact, if he uses other names or attributes of Allah, which do not remind of Him, but give that connotation when used during an oath, like Samee' (All Hearing) or Baseer (All Seeing), even then the oath will be valid.
   4. The oath should be uttered in words, but a dumb person can take an oath by making a sign. Similarly, if a person is unable to utter the words, he may write down the oath, repeating in his mind the intention for it, that will be a valid oath, though as a precaution, he may confirm the oath in other ways as well.
   5. It should be possible for him to act upon his oath. And if he was able to act upon the oath when he took it, but became incapable of acting upon it later, the oath becomes nullified from the time he became incapable of acting upon it, provided that he did not incapacitate himself purposely. And the same rule applies if acting upon one's vow, oath, or covenant, involves unbearable hardship.","Sistani"
"575",575,"

If a person breaks his oath, what is he supposed to do?","If a person takes an oath that he will perform an act (e.g. that he will fast) or will refrain from doing an act (e.g. that he will not smoke), but does not intentionally act according to his oath, he should give Kaffarah for it, which means he should set a slave free, or should fully feed ten indigent persons, or should provide them with clothes. And if he is not able to perform these acts, he should fast for three consecutive days.","Sistani"
"576",576,"

If I pray with a leather belt or a wallet made from leather of a mayta and realize it during the salat or after finishing it but before the end of its time span or after the ending of its time span-what would become of that prayer?","The prayer with a wallet made from leather of a mayta is valid just as it is acceptable to pray with a belt made from such a leather, provided that the probability of it being from zabiha is not a very low probability that would be ignored by sensible people.
In the second case [of very low probability], if he was ignorant [of this rule] and realized during salat, he should take it off immediately and his salat would be valid. The same rule would apply if he forgot [that he had the wallet or the belt on him] and remembered during salat, provided that his forgetfulness was not a result of carelessness and indifference. In other cases, he will have to repeat salat in time or qadha as a matter of obligatory precaution.","Sistani"
"577",577,"

It happens that the time of salat sets in while the Muslim worker is at his work-place, - noting that finding work is not easy - thus, he finds it difficult to leave the work for salat. Sometimes he ends up losing his job because of his insistence on saying salat. Is he allowed to say his prayers as qadha? Or must he say them [on time], even if it leads to him losing his job?","If the need to work at that place reaches the level of necessity, then he should pray in time in whatever way possible: even just by indicating [by lowering the neck halfway for ruku' and fully for sajda]. However, such a situation would arise only exceptionally. So he should fear Almighty Allah and not accept a job which leads to neglecting the pillar of faith; thus, he should remember the words of the Almighty: ""And whosoever fears Allah, He will make a way out for him [from difficulties] and provide for him from where he does not expect."" (65:2)","Sistani"
